rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
830,"Xushan, China",54,71,53,69,62,64,44,34,38,40,53,54,70,35.8469301,102.4791136
831,"Breza, Bosnia And Herzegovina",53,78,91,62,40,31,28,42,38,33,35,58,105,44.0183108,18.2608208
832,"Zenica, Bosnia And Herzegovina",53,66,80,57,42,39,37,42,44,38,41,58,87,44.199828,17.9093012
833,"Osorno, Chile",53,12,14,24,52,99,97,108,103,65,28,23,16,-40.5736955,-73.1358091
834,"Santiago, Chile",53,38,58,46,56,82,78,90,54,45,38,22,34,-33.4377756,-70.6504502
835,"Fuzhou, China",53,83,59,62,52,49,38,31,39,41,52,61,72,26.0774954,119.2918215
836,"Jixi, China",53,92,68,76,114,50,29,-,22,33,48,51,58,45.2928513,130.9619259
837,"Lianzhou, China",53,80,57,72,51,46,36,39,36,34,44,74,67,24.9377373,112.4818454
838,"Shahe, China",53,151,155,163,-,-,-,-,-,-,-,83,84,36.8616265,114.5112915
839,"Ulanhot, China",53,67,51,72,112,62,41,39,29,34,44,41,42,46.0698111,122.0873444
840,"Xinji, China",53,142,139,169,-,-,-,-,-,-,-,88,94,37.88374335,115.253783460645
841,"Yingtan, China",53,74,55,63,57,49,41,33,43,43,53,59,69,28.2378405,117.1143221
842,"Addis Ababa, Ethiopia",53,39,41,52,43,61,71,74,67,72,34,37,45,9.0358287,38.7524127
843,"Cuddapah, India",53,78,72,53,53,50,43,31,46,31,68,47,62,14.4956602,78.8349278
844,"Markapur, India",53,88,77,63,57,54,55,23,30,23,49,54,62,15.7406698,79.2698502
845,"Arak, Iran",53,58,46,31,26,38,53,111,75,74,46,45,38,34.0862719,49.6893884
846,"Veles, Macedonia",53,83,102,82,27,29,28,35,29,33,39,47,106,41.718869,21.7705695
847,"Leskovac, Serbia",53,148,88,69,43,18,12,10,12,16,18,57,146,42.9951304,21.9464271
848,"Springs, South Africa",53,40,23,26,48,39,86,99,89,73,46,32,31,-26.2550033,28.4373147
849,"Vereeniging, South Africa",53,38,28,37,61,54,96,92,69,53,37,37,30,-26.6747222,27.9261111
850,"Ch'onan, South Korea",53,62,75,80,82,52,47,37,36,35,41,40,52,,
851,"Bang Racham, Thailand",53,84,102,107,100,36,14,17,27,-,31,50,65,,
852,"Dok Kham Tai, Thailand",53,62,112,165,144,42,11,7,15,16,11,24,29,19.1625658,99.9906059
853,"Iksan, South Korea",52,58,66,76,80,50,47,34,36,37,44,41,49,35.9479291,126.9578025
854,"Tha Maka, Thailand",52,101,100,108,79,33,17,13,7,-,40,57,69,13.9147738,99.768949
855,"Mityana, Uganda",52,87,87,-,49,58,61,74,108,-,-,45,49,0.45606855,32.07680241736314
856,"Itanagar, India",52,76,78,65,67,51,38,27,38,36,40,50,53,27.0979659,93.6237291
857,"Jorhat, India",52,72,77,75,64,49,42,27,38,38,40,47,54,26.7577925,94.2079645
858,"Madurai, India",52,74,67,63,47,51,33,30,36,33,38,48,101,9.9261153,78.1140983
859,"Rajapalaiyam, India",52,69,62,62,52,49,41,46,52,43,50,39,62,9.4522179,77.5607781
860,"Jambi, Indonesia",52,35,33,30,36,46,46,47,55,98,119,48,31,-1.6394711,102.94542640112506
861,"Esfahan, Iran",52,62,32,34,28,31,48,64,51,53,52,81,84,32.6707877,51.6650002
862,"Sardasht, Iran",52,37,61,48,52,65,84,59,54,38,58,45,24,36.1553184,45.4799637
863,"Talas, Kyrgyzstan",52,126,33,39,30,18,14,12,13,25,58,82,176,42.44067775,72.14085564106415
864,"Silao, Mexico",52,72,58,56,62,60,55,43,41,41,44,44,48,20.943727,-101.427043
865,"Olgiy, Mongolia",52,142,207,79,56,46,33,25,8,0,-,10,16,48.5470083,89.8549358
866,"Chillan, Chile",52,23,117,32,56,63,79,83,60,33,29,21,22,-36.6066616,-72.1033194
867,"Curico, Chile",52,36,88,43,54,85,78,78,50,32,33,22,27,-34.985368,-71.2393705
868,"Chongzuo, China",52,99,70,67,58,47,33,33,30,29,37,55,60,22.4910206,107.328244
869,"Kuaidamao, China",52,90,60,63,75,48,39,36,29,37,42,33,66,41.6770685,125.8186822
870,"Puning, China",52,59,74,64,56,52,29,29,38,39,48,71,70,23.3000453,116.160937
871,"Shangrao, China",52,67,49,59,58,51,42,33,39,43,52,60,67,28.4582821,117.9381305
872,"Zongo, Congo (Kinshasa)",52,182,194,126,83,24,2,-,-,-,-,0,17,4.3436703,18.5945851
873,"Saalfelden am Steinernen Meer, Austria",51,22,34,120,152,18,28,76,24,6,6,94,27,47.4266166,12.8481048
874,"Manama, Bahrain",51,-,-,-,53,52,75,83,94,80,57,46,66,26.2235041,50.5822436
875,"Zepce, Bosnia And Herzegovina",51,93,107,52,39,36,36,37,39,35,29,41,66,44.4239617,18.037904
876,"Hechi, China",51,77,62,69,55,43,36,36,30,33,39,67,61,24.7169004,107.8857367
877,"Kaihua, China",51,57,64,72,103,45,34,28,29,32,35,56,53,29.1399083,118.4108029
878,"Sihui, China",51,49,62,60,49,44,36,33,39,37,48,87,66,23.3291193,112.7284772
879,"Tengyue, China",51,63,75,77,87,59,36,30,24,34,32,40,49,25.0262852,98.4988544
880,"Yuxi, China",51,60,83,73,92,50,40,29,33,35,31,42,39,24.3511487,102.527044
881,"Zhaotong, China",51,74,77,52,62,49,42,38,37,38,37,52,52,27.3417508,103.7146923
882,"Dibrugarh, India",51,70,81,77,57,37,41,30,39,38,42,42,52,27.4844597,94.9019447
883,"Palmaner, India",51,60,69,54,36,26,23,27,42,28,71,64,110,,
884,"Pamidi, India",51,51,73,53,47,45,52,30,44,34,64,43,74,14.9707396,77.54570946133072
885,"Udipi, India",51,50,58,46,35,36,34,33,40,23,39,86,136,17.3824479,78.4386143
886,"Pakdasht, Iran",51,68,36,32,26,32,59,66,55,62,50,63,67,35.4784573,51.6824624
887,"Varamin, Iran",51,71,41,39,35,41,57,50,37,41,49,72,76,35.3283255,51.6460307
888,"Novi Pazar, Serbia",51,105,81,46,42,23,19,18,15,19,38,77,123,43.1363535,20.5112273
889,"Johannesburg, South Africa",51,35,28,28,38,38,69,79,85,75,68,44,26,-26.205,28.049722
890,"Vanderbijlpark, South Africa",51,34,23,33,39,40,79,85,89,66,55,43,24,-26.706891,27.836271
891,"Anseong, South Korea",51,62,69,79,74,49,45,35,33,33,41,43,52,37.007773,127.279971
892,"Hwasu Dong, South Korea",51,59,61,74,74,52,46,39,36,36,42,43,47,37.4824887,126.6320161
893,"Mae Hong Son, Thailand",51,54,91,188,143,35,12,6,11,14,10,25,26,19.3927456,98.2031112
894,"Ratchaburi, Thailand",51,81,99,91,71,35,25,25,29,18,29,49,62,13.6317897,99.3558216
895,"Batman, Turkey",51,69,30,28,30,49,46,50,57,66,32,74,84,37.7874104,41.2573924
896,"Brawley, United States",51,30,49,39,58,69,65,62,51,77,50,33,27,32.9786566,-115.530267
897,"Paracin, Serbia",50,45,48,44,50,54,50,44,50,63,53,39,61,43.8636301,21.4099615
898,"Incheon, South Korea",50,57,59,77,72,51,43,38,34,34,40,43,48,37.456,126.7052
899,"Kunsan, South Korea",50,60,63,73,82,49,43,32,35,35,41,40,48,35.9679984,126.7369036
900,"Osan, South Korea",50,59,62,78,73,50,48,39,36,35,39,39,45,37.1499376,127.0774625
901,"Tongjin, South Korea",50,61,66,79,70,49,45,36,34,32,36,43,51,37.6948,126.60312
902,"Nong Bua Lamphu, Thailand",50,76,86,104,82,53,22,16,25,-,37,54,46,17.3521009,102.2074566
903,"Erzincan, Turkey",50,100,55,39,26,35,34,38,39,39,42,63,88,39.6073429,39.2013209
904,"Ashgabat, Turkmenistan",50,66,41,34,46,30,35,45,42,40,74,68,80,37.9404648,58.3823487
905,"Wakiso, Uganda",50,62,81,46,38,55,61,81,79,-,-,45,55,0.3760928,32.456126539081936
906,"Saugor, India",50,56,41,42,40,37,34,35,52,34,57,99,78,23.8477612,78.7433318
907,"Shimla, India",50,90,51,34,30,29,30,41,53,53,55,48,88,31.1041526,77.1709729
908,"Tuticorin, India",50,58,50,58,56,45,45,54,59,41,48,39,51,8.8061784,78.1553173
909,"Borujerd, Iran",50,37,-,30,45,62,68,79,62,76,55,44,41,33.8943281,48.7560936
910,"Mexicali, Mexico",50,59,50,48,53,47,53,57,-,100,-,60,75,32.6405247,-115.474899
911,"Linares, Chile",50,31,102,17,44,86,89,90,58,41,10,14,22,-35.8452905,-71.5977173
912,"San Fernando, Chile",50,34,86,42,59,72,69,74,50,42,26,15,33,-34.583791,-70.989122
913,"Talcahuano, Chile",50,41,63,40,46,55,57,71,59,40,48,37,37,-36.7144863,-73.1141087
914,"Ganzhou, China",50,67,51,58,49,46,34,33,38,40,52,68,60,25.8332103,114.9287362
915,"Jingdezhen, China",50,73,52,58,59,51,43,33,38,36,51,54,57,29.2712774,117.1727822
916,"Jinghong, China",50,50,75,101,135,44,28,24,19,26,27,33,37,22.0025515,100.7707274
917,"Nanning, China",50,74,57,63,51,44,32,35,31,34,44,72,62,22.8193063,108.3627211
918,"Ningbo, China",50,64,47,56,60,46,40,30,31,37,46,62,86,29.8622194,121.6203873
919,"Qinzhou, China",50,79,63,62,53,42,29,31,29,33,46,73,63,34.5797531,105.7062921
920,"Wenzhou, China",50,54,58,69,66,50,40,33,30,29,41,68,66,27.9963899,120.695345
921,"Lusaka, Zambia",50,16,23,20,24,39,51,50,74,140,86,47,28,-15.4163395,28.2818414
922,"Drug, India",49,74,59,57,31,39,21,14,23,23,45,76,125,20.3904766,78.3471751
923,"Giddalur, India",49,78,70,55,53,51,47,24,35,24,54,43,59,15.3784042,78.9265231
924,"Jammalamadugu, India",49,74,67,51,51,49,43,26,38,26,58,43,58,14.8473457,78.382172
925,"Kurnool, India",49,57,75,55,50,39,40,22,30,25,61,56,79,15.8309251,78.0425373
926,"Solapur, India",49,50,60,55,47,46,53,24,30,44,27,63,88,17.84990665,75.27632027348457
927,"Tadpatri, India",49,64,69,52,49,47,47,27,39,28,58,44,60,14.9393455,78.02808711615015
928,"Tinnevelly, India",49,65,57,60,52,42,41,47,53,39,47,39,51,,
929,"At Tafilah, Jordan",49,36,48,32,39,86,37,41,43,58,49,55,64,30.833333,35.5999999
930,"Beirut, Lebanon",49,67,61,44,42,49,51,51,56,45,47,34,35,33.88922645,35.50255852895232
931,"Chihuahua, Mexico",49,53,64,55,54,52,57,52,45,47,46,25,43,28.5000001,-106.0000001
932,"Salamanca, Mexico",49,69,65,60,54,59,62,46,36,44,34,37,23,20.65232455,-101.16684156787477
933,"Vranje, Serbia",49,70,88,50,26,19,16,12,9,15,18,112,152,42.5558337,21.8976673
934,"Sandton, South Africa",49,40,32,41,64,52,74,72,64,54,43,35,22,-26.1045525,28.0545147
935,"Ansan, South Korea",49,58,60,78,72,51,44,37,33,32,38,41,46,37.3217152,126.8308604
936,"Gimpo, South Korea",49,56,57,75,71,49,46,40,33,32,39,42,47,37.6155683,126.7157798
937,"Goyang, South Korea",49,57,56,74,71,49,46,41,34,32,38,39,47,37.6581862,126.8319452
938,"Hongseong, South Korea",49,57,64,67,71,47,44,37,36,33,37,39,50,36.5993365,126.6812157
939,"Hosan, South Korea",49,53,63,74,77,47,44,33,34,33,41,38,48,37.177904350000006,129.33435643183893
940,"Kunpo, South Korea",49,55,57,79,74,49,46,37,33,33,38,41,44,37.3535747,126.9484606
941,"Pattani, Thailand",49,46,91,106,114,46,22,24,32,24,17,33,33,6.6997443,101.3989917
942,"Phra Nakhon Si Ayutthaya, Thailand",49,100,107,68,69,36,21,19,24,23,30,39,50,14.3189468,100.5111681
943,"Samut Songkhram, Thailand",49,93,94,76,59,29,20,21,24,17,45,50,62,13.3576862,99.9619685
944,"Suphan Buri, Thailand",49,77,76,70,80,52,22,22,25,25,32,52,59,14.6777,100.0350785
945,"Balikesir, Turkey",49,80,61,43,36,32,34,30,29,31,60,69,82,39.5400798,28.0228793
946,"Duzce, Turkey",49,126,54,37,26,25,36,37,41,34,34,40,102,40.8774545,31.2009618
947,"Kilis, Turkey",49,58,45,42,31,39,45,43,42,43,54,76,74,36.7797231,37.1416892
948,"Mardin, Turkey",49,35,26,144,25,44,46,33,41,33,46,81,36,37.3132581,40.7354383
949,"Nizip, Turkey",49,78,42,40,29,37,41,43,43,46,55,62,67,37.0101095,37.7971978
950,"Sakarya, Turkey",49,72,55,51,61,39,36,46,41,35,45,44,58,40.7731834,30.481606
951,"Soma, Turkey",49,69,58,42,36,38,42,48,46,41,45,56,62,39.185172,27.6088792
952,"Calexico, United States",49,47,41,31,46,49,52,57,43,60,55,48,60,32.6668134,-115.4963754
953,"Los Angeles, Chile",49,38,80,45,54,66,68,75,71,25,25,22,22,-37.4707455,-72.351686
954,"Guankou, China",49,88,70,49,40,45,40,44,33,36,36,48,61,30.55,115.333333
955,"Huangshan, China",49,65,58,58,59,45,39,27,35,37,49,56,55,29.7172627,118.3324811
956,"Quanzhou, China",49,56,60,65,62,51,35,31,44,37,44,56,48,25.1901863,118.338717
957,"Zunyi, China",49,75,54,50,47,46,35,33,34,37,38,63,73,27.6912954,106.9155974
958,"Slavonski Brod, Croatia",49,81,92,52,33,29,26,23,30,29,30,64,102,45.1665803,18.0121385
959,"Temuco, Chile",48,23,24,23,36,71,111,83,80,46,36,21,23,-38.7358908,-72.590538
960,"Chaozhou, China",48,52,77,67,57,47,29,29,32,35,40,58,54,23.656593,116.6204223
961,"Guangzhou, China",48,51,60,63,48,46,35,32,36,35,43,68,60,23.1301964,113.2592945
962,"Guiyang, China",48,75,53,52,59,47,37,33,31,33,35,60,58,26.6499922,106.6246178
963,"Lincang, China",48,55,64,79,113,50,34,27,26,31,29,34,35,23.88848,100.0879344
964,"Linhai, China",48,71,50,54,54,55,43,30,32,38,46,51,46,28.8616886,121.1402223
965,"Shaoguan, China",48,60,56,59,50,44,34,35,37,32,42,70,56,24.8309489,113.8155263
966,"Kozani, Greece",48,31,39,28,24,26,29,150,72,88,17,27,39,40.3007259,21.7883119
967,"Bellary, India",48,45,75,46,40,38,44,23,32,25,65,49,96,15.1433952,76.9193876
968,"Hospet, India",48,53,85,44,39,44,34,18,20,20,65,53,101,15.266493,76.3872297
969,"Koilkuntla, India",48,73,66,51,50,49,44,24,36,24,55,42,56,15.23951255,78.32364184993625
970,"Nandyal, India",48,68,71,54,51,46,44,23,34,24,56,42,66,15.4736293,78.4806592
971,"Proddatur, India",48,73,66,51,50,48,42,26,39,27,59,43,57,14.7555953,78.5501531
972,"Batken, Kyrgyzstan",48,82,98,58,27,19,22,20,25,32,56,57,85,39.8660893,71.57498510755224
973,"Tokmok, Kyrgyzstan",48,65,35,70,45,24,22,17,18,28,66,81,105,42.8373462,75.2953881
974,"Skopje, Macedonia",48,83,82,45,32,25,28,32,30,33,39,44,104,41.9961816,21.4319213
975,"Guadalupe, Mexico",48,58,61,59,48,45,46,40,43,42,39,39,54,25.6751114,-100.2151753
976,"Irapuato, Mexico",48,63,60,60,53,53,55,38,33,41,32,43,44,20.6758761,-101.3521052
977,"Valle Alto, Mexico",48,65,58,58,57,43,46,44,45,39,38,39,45,19.0546543,-104.2847157
978,"Warri, Nigeria",48,137,118,49,33,28,-,-,-,-,-,65,147,5.5186186,5.7480196
979,"Changyon, North Korea",48,52,53,59,80,57,46,40,34,41,40,37,41,38.2479349,125.09442
980,"Gornji Milanovac, Serbia",48,98,98,55,44,21,16,16,17,18,30,56,103,44.0243159,20.4600377
981,"Anyang, South Korea",48,56,58,76,67,48,44,37,34,33,38,40,44,37.3938528,126.9570605
982,"Bucheon, South Korea",48,56,58,79,70,49,43,37,31,30,37,40,47,37.5014422,126.7660139
983,"Kimje, South Korea",48,53,60,71,74,47,44,32,35,35,39,39,45,,
984,"Sosan, South Korea",48,56,58,65,75,49,43,37,33,33,37,41,48,33.4460664,126.5536297
985,"Suwon, South Korea",48,55,58,77,71,49,45,37,35,32,36,39,45,37.2633325,127.0287472
986,"Yoju, South Korea",48,56,60,73,67,48,45,37,32,30,36,43,48,37.2982901,127.637033
987,"Nakhon Pathom, Thailand",48,73,75,74,66,40,26,21,27,22,34,57,65,13.8918425,100.0165659
988,"Phrae, Thailand",48,57,108,136,107,39,15,10,16,14,14,27,32,18.2930601,100.0886757
989,"Tha Bo, Thailand",48,56,82,101,96,31,14,13,22,20,30,59,55,17.8474846,102.5813523
990,"Adana, Turkey",48,64,52,46,35,42,37,43,62,41,45,49,54,36.9863599,35.3252861
991,"Kilimli, Turkey",48,67,51,55,52,47,33,34,42,43,48,39,61,37.0666075,40.2138021
992,"Sanliurfa, Turkey",48,71,57,59,24,39,27,29,40,44,53,70,65,37.1596239,38.791929
993,"Tekirdag, Turkey",48,44,42,36,39,54,27,51,27,42,47,52,110,40.9913019,27.3676293
994,"Fort Portal, Uganda",48,77,102,44,33,38,44,65,63,-,-,52,52,0.6561907,30.2779432
995,"Mubende, Uganda",48,70,123,78,28,30,49,56,58,-,-,39,47,0.5154278999999999,31.40954764189936
996,"Asan, South Korea",47,54,67,66,72,45,42,33,35,32,35,38,46,36.7899498,127.0026769
997,"Cheongju, South Korea",47,54,62,71,70,44,41,33,31,30,37,40,51,36.6421169,127.4891742
998,"Eumseong, South Korea",47,57,61,69,69,45,42,32,31,30,36,42,50,36.94,127.6906
999,"Sejong, South Korea",47,52,61,69,72,45,42,32,32,31,36,37,49,36.4799999,127.289
1000,"Yongju, South Korea",47,59,62,65,73,44,38,31,33,32,37,43,48,35.54103,128.10043
1001,"Huatan, Taiwan",47,61,62,62,60,48,31,26,26,35,52,54,47,24.0297,120.5381167
1002,"Prachin Buri, Thailand",47,53,70,77,65,53,31,30,35,27,33,43,45,14.1542055,101.5547823
1003,"Saraburi, Thailand",47,65,69,73,62,46,25,24,30,24,36,48,56,14.6240563,100.8601022
1004,"Uttaradit, Thailand",47,68,106,102,60,36,18,20,29,25,20,37,38,17.625163,100.4029452
1005,"Calipatria, United States",47,28,47,33,61,59,65,61,38,73,50,27,20,33.1255773,-115.5140272
1006,"Cubatao, Brazil",47,40,41,52,40,54,48,47,51,59,28,52,50,-23.8857982,-46.4241869
1007,"Foshan, China",47,50,60,59,47,43,32,29,32,31,43,75,65,23.0239788,113.1159558
1008,"Qingyuan, China",47,53,56,64,52,47,34,33,37,32,41,63,55,23.6832984,113.0505994
1009,"Taizhou, China",47,66,52,56,58,43,35,28,28,27,39,66,65,28.6581723,121.4163876
1010,"Kolar, India",47,52,63,59,37,11,9,23,38,26,68,81,91,13.18050655,78.26693288646007
1011,"Thiruvananthapuram, India",47,82,76,61,48,36,32,29,33,28,44,41,49,8.4882267,76.947551
1012,"Thakhek, Laos",47,66,95,114,91,44,13,10,-,-,46,46,33,17.3946183,104.8064526
1013,"Morelia, Mexico",47,58,64,57,70,65,53,42,42,37,27,29,17,19.6546004,-101.26237972291207
1014,"Tizayuca, Mexico",47,46,61,37,35,48,54,40,43,40,52,63,48,19.85257935,-98.95927027557966
1015,"Kaesong, North Korea",47,57,58,68,68,43,34,29,31,33,41,46,51,37.9690133,126.5426561
1016,"Ongjang, North Korea",47,54,55,65,73,54,48,40,30,30,34,35,41,,
1017,"Belgaum, India",46,63,63,59,48,39,30,18,24,23,53,51,84,15.8572666,74.5069343
1018,"Bishnupur, India",46,78,83,75,54,29,36,31,36,33,29,25,41,23.0757335,87.3146343
1019,"Guntakal, India",46,49,74,48,42,36,41,22,32,26,61,46,80,15.163811,77.3761354
1020,"Nagercoil, India",46,69,63,61,49,38,36,37,42,32,44,37,46,8.1880471,77.4290492
1021,"Ilam, Iran",46,30,53,43,35,52,56,46,46,50,56,42,43,33.1545696,46.7576343
1022,"Kant, Kyrgyzstan",46,216,141,55,26,20,-,-,-,-,-,23,73,42.8888241,74.8457492
1023,"Techirghiol, Romania",46,17,4,3,2,2,4,7,24,463,-,9,12,44.0555067,28.5998797
1024,"Rustenburg, South Africa",46,24,18,24,50,42,68,72,82,55,53,29,29,-25.665655,27.241448
1025,"Chungju, South Korea",46,58,61,70,68,45,42,33,32,30,33,37,45,36.9907334,127.9259891
1026,"Gwacheon, South Korea",46,54,56,70,66,46,42,36,32,30,33,38,44,37.4289037,126.9881655
1027,"Jeonju, South Korea",46,55,59,71,68,44,42,30,32,31,36,36,42,35.8237631,127.1472805
1028,"Songnam, South Korea",46,56,58,72,66,45,41,35,31,29,32,37,44,37.4201556,127.1262092
1029,"Denizli, Turkey",46,74,51,52,39,38,36,42,58,38,36,41,51,37.8275892,29.2389539
1030,"Luuka Town, Uganda",46,101,94,-,40,50,49,71,85,-,-,28,29,,
1031,"Chula Vista, United States",46,49,47,42,50,35,34,42,41,44,59,57,53,32.6400541,-117.084195
1032,"Hanford, United States",46,29,36,25,36,39,41,48,50,66,72,56,52,36.3277959,-119.6461565
1033,"Gaobeidian, China",46,111,140,188,-,-,-,-,-,-,-,57,53,39.3242969,115.8702855
1034,"Hegang, China",46,63,57,66,66,45,34,28,24,33,46,42,50,47.3272338,130.2684769
1035,"Heshan, China",46,51,59,55,45,40,33,27,31,34,45,72,59,22.7687622,112.9591941
1036,"Jiaojiangcun, China",46,64,44,47,54,54,42,29,30,36,49,46,53,,
1037,"Kunming, China",46,52,68,66,72,48,39,30,34,34,30,44,34,25.0363006,102.7086139
1038,"Nangong, China",46,151,123,161,-,-,-,-,-,-,-,57,58,37.3560772,115.3920309
1039,"Taihecun, China",46,73,63,70,87,45,30,-,21,24,37,45,57,23.9184976,115.8080086
1040,"Zhaoqing, China",46,47,57,57,51,43,34,28,33,34,42,70,54,23.0501661,112.4603629
1041,"Douala, Cameroon",45,82,121,74,44,-,-,57,-,-,-,61,99,4.0429389,9.7062018
1042,"Talca, Chile",45,28,82,40,48,63,63,73,51,26,27,19,22,-35.4265343,-71.6660322
1043,"Beihai, China",45,77,55,54,45,38,31,29,27,29,40,61,56,21.6740808,109.3729721
1044,"Jiangmen, China",45,47,55,54,45,40,29,27,29,30,44,73,68,22.5816619,113.0761073
1045,"Lichuan, China",45,108,62,41,40,27,23,22,26,25,28,53,87,30.2937431,108.9322926
1046,"Putian, China",45,49,61,56,59,48,34,31,40,33,40,47,44,25.3538682,119.0570588
1047,"Qianzhou, China",45,81,58,44,45,39,33,26,35,32,32,45,73,28.2576833,109.6935009
1048,"Qujing, China",45,53,58,59,63,47,39,30,35,36,34,47,40,25.4936418,103.7943084
1049,"Wuan, China",45,131,147,127,-,-,-,-,-,-,-,55,78,,
1050,"Lykovrysi, Greece",45,54,52,38,44,46,41,54,40,38,45,48,38,38.0682001,23.7800629
1051,"Badvel, India",45,68,61,48,47,46,40,23,34,23,51,40,53,14.7433614,79.0610394
1052,"Chikkaballapur, India",45,81,88,54,49,37,34,21,35,27,65,18,32,13.099376424266564,77.38872899876924
1053,"Khed Brahma, India",45,60,49,41,41,46,39,43,41,33,42,57,53,24.0297442,73.041523
1054,"Rameswaram, India",45,62,55,50,41,34,35,42,43,32,43,48,57,9.2844657,79.3125553
1055,"Silchar, India",45,69,75,72,49,34,40,33,37,34,29,25,39,24.830302,92.7875689
1056,"Shahr E Jadid E Hashtgerd, Iran",45,107,39,30,18,46,26,42,35,44,38,63,52,,
1057,"Oskemen, Kazakhstan",45,50,158,72,45,40,22,22,14,-,-,74,44,49.9484438,82.6274791
1058,"Bitola, Macedonia",45,93,65,38,28,24,27,34,27,36,29,46,98,41.0316005,21.3302511
1059,"Algodones, Mexico",45,34,42,34,48,50,38,46,47,61,65,34,37,32.7129388,-114.734035
1060,"Erdenet, Mongolia",45,66,50,32,44,37,30,29,-,-,-,82,168,49.0276045,104.0443867
1061,"Osogbo, Nigeria",45,57,53,27,23,-,-,-,-,12,-,186,185,7.75832225,4.575044734945106
1062,"Sunland Park, United States",45,36,54,42,62,45,50,46,43,40,47,38,37,31.796496,-106.579989
1063,"Thanh Hoa, Vietnam",45,130,81,75,64,48,28,-,-,-,-,56,54,19.8076814,105.7767437
1064,"Pozarevac, Serbia",45,56,56,29,26,19,9,8,11,11,15,80,225,44.6199926,21.1854
1065,"Valjevo, Serbia",45,91,73,55,38,26,21,19,19,14,20,74,93,44.2708719,19.8863297
1066,"Boryeong, South Korea",45,57,62,65,65,45,41,37,30,29,33,37,44,36.33401,126.613165
1067,"Guri, South Korea",45,52,55,70,66,45,40,36,31,29,33,37,42,37.5935948,127.1297917
1068,"Gwangmyeongni, South Korea",45,55,56,72,64,45,41,35,32,30,34,37,44,,
1069,"Hanam, South Korea",45,52,54,70,66,45,42,37,33,29,32,37,42,37.5392918,127.214948
1070,"Jeonghae, South Korea",45,55,56,64,71,44,40,33,35,33,33,35,41,,
1071,"Kihung, South Korea",45,55,58,72,65,44,41,34,31,28,30,36,42,,
1072,"Paju, South Korea",45,60,61,63,65,42,37,31,25,28,36,41,50,37.7598955,126.7801502
1073,"Sangju, South Korea",45,49,53,62,72,45,43,34,33,27,34,41,47,36.4104478,128.1590614
1074,"Seoul, South Korea",45,54,55,72,66,45,41,36,31,30,33,37,43,37.5666791,126.9782914
1075,"Uijeongbu, South Korea",45,55,56,69,65,44,41,35,30,28,32,38,44,37.7380747,127.0339665
1076,"Uiwang, South Korea",45,54,56,73,64,45,42,35,33,29,32,36,43,37.3449082,126.9689861
1077,"Yanggok, South Korea",45,52,54,69,63,45,40,36,31,29,31,39,45,35.2013556,126.6828222
1078,"Chiayi, Taiwan",45,60,64,56,62,48,28,26,25,30,44,53,46,23.4591664,120.2930004
1079,"Kaohsiung, Taiwan",45,61,62,58,52,40,26,25,28,28,49,58,55,22.6203348,120.3120375
1080,"Bangkok, Thailand",45,69,61,62,58,38,27,24,28,28,39,53,58,13.7524938,100.4935089
1081,"Mae Sot, Thailand",45,64,131,76,63,41,16,9,16,20,19,35,49,16.714992,98.5695528
1082,"Corum, Turkey",45,95,38,40,30,32,25,26,29,34,67,46,78,40.5498762,34.9537362
1083,"Yakacik, Turkey",45,69,95,46,42,36,23,34,39,31,40,36,50,38.3004431,39.8274426
1084,"Daejeon, South Korea",44,50,56,66,70,44,41,31,32,29,33,35,43,36.3497007,127.3849016
1085,"Gyeongsan, South Korea",44,48,49,64,68,45,41,36,31,29,34,37,44,35.825122,128.741329
1086,"Jicheon, South Korea",44,49,50,63,69,43,40,32,32,31,36,40,47,35.8973951,128.5001806
1087,"Kumi, South Korea",44,49,49,61,68,46,41,33,29,29,36,41,48,37.6001885,127.1037024
1088,"Muan, South Korea",44,53,52,58,70,42,39,31,35,35,38,37,41,34.9905794,126.4812377
1089,"Pohang, South Korea",44,48,45,62,68,45,40,34,33,32,39,39,43,36.0189315,129.3429384
1090,"Wonju, South Korea",44,52,55,64,60,46,41,33,31,29,32,39,43,37.3420996,127.9197603
1091,"Douliu, Taiwan",44,54,56,54,59,47,27,25,27,35,49,53,43,23.7050525,120.5372523
1092,"Tainan, Taiwan",44,58,62,54,55,42,24,22,26,28,48,55,49,22.9912348,120.184982
1093,"Bang Kruai, Thailand",44,74,63,64,56,36,23,23,28,20,34,53,57,13.8027856,100.4773195
1094,"Lop Buri, Thailand",44,68,83,87,95,45,20,14,21,-,26,33,40,15.026458,100.8089178
1095,"Agri, Turkey",44,39,33,61,31,44,41,41,43,35,35,44,76,39.7779175,43.168437098021585
1096,"Antalya, Turkey",44,48,34,35,29,30,55,75,60,32,41,42,50,36.8865728,30.7030242
1097,"Havran, Turkey",44,45,36,36,27,33,38,46,50,48,79,61,34,39.5576221,27.1002544
1098,"Nikaia, Greece",44,47,46,41,36,51,35,45,47,44,48,38,47,37.9657507,23.6473298
1099,"Kohima, India",44,62,82,82,62,40,36,24,28,25,30,23,37,25.6618755,94.1019156
1100,"Rayachoti, India",44,54,59,44,39,34,32,23,35,25,55,56,68,14.0555217,78.7510163
1101,"Orumiyeh, Iran",44,76,-,71,50,52,55,32,25,37,44,51,39,37.548341,45.0667111
